"STRUCT_NAME","STRUCT_DESCRIPT","QUERY_DESCRIPT"
"JanusAgeModel","Age model (or Age Depth Model) interpretations based mostly on paleontological but also paleomagnetic and radio-isotopic analyses.","Age Model"
"JanusAgeProfile","Interpretations of fossil datums used to construct age models for holes.","Age Profile"
"JanusChemCarb","Measurements of carbonate data generated from instrumentation in the shipboard chemistry lab including weight percentages of inorganic, organic, and total carbon, calcium carbonate, nitrogen, sulfur, and hydrogen.","Chemical Carbonate"
"JanusChemCarbTest","Test for retrieving additional depth types (mcd) and depth options  (voids, exotics, compression), and formatted strings for float measurement fields for writing to datasets.","Chemical Carbonate Test"
"JanusChemGas","NEW:  Measurements of gas elements generated using gas chromatographs and natural gas analyzers in the shipboad chemistry lab.","Chemical Gas Element"
"JanusChemIw","NEW:  Measurements of elements,  compounds, salinity, alkalinity, and pH from interstitial (pore) water samples generated using gas chromatography, mass spectrometry, and atomic emissions spectrometry in the shipboard chemistry lab.","Chemical Interstitial Water"
"JanusChemRockEval","NEW:  Measurements of type and maturity of organic carbon and hydrocarbon potential (for safety purposes) by sample pyrolysis using RockEval instrumentation.","Chemical Rock Eval"
"JanusCoreCloseupImage","NEW:  URL links to closeup core photo images.","Core Closeup Image"
"JanusCoreImage","URL links to core and core-section photo images.","Core Image"
"JanusCoreLogSummary","NOT NEEDED, SEE OCD_CORE_SECTION_SUMMARY","Core Log Summary"
"JanusCoreSample","Information on samples taken from cores for shipboard laboratories to fulfill minimum data requirements and post-cruise for research proposals.","Core Sample"
"JanusCoreSampleTotal","NEW:  Summary statistics regarding the number of samples taken for particular laboratory purposes or in fulfillment of a sample request.","Core Sample Total"
"JanusCoreSectionSummary","NEW:  Summary of core and section depths and offsets.","Core Section Summary"
"JanusCoreSummary","Summary of core depth intervals and offsets.","Core Summary"
"JanusCryomag","Measurements of paleomagnetic data including declination, inclination and intensity taken with a cryogenic magnetometer and other equipment.","Paleomagnetics"
"JanusDht","Measurements of downhole temperature.","Downhole Temperature"
"JanusDigitalRgb","NEW:  Measurements of red, green, blue (RGB) values taken on cores with a line-scan camera.","Digital Imaging RGB"
"JanusGra","Measurements of gamma-ray attenuation and calculated bulk density acquired using sensors on the whole-core multi-sensing track (WC-MST).","Gamma-Ray Attenuation (GRA)"
"JanusIcpAes","Measurements of major and trace elements by geochemical analyses using inductively coupled plasma-atomic emmission spectrometry (ICP-AES).","Inductively Coupled Plasma-Atomic Emmission Spectrometry (ICP-AES)"
"JanusLimsComponentRef","NEW:  Reference for LIMS Components","LIMS Components Reference"
"JanusMad","Index Properties of Moisture and Density (MAD) including moisture content, porosity, and void ratio derived from measurements from pycnometers and mass balances.","Moisture and Density (MAD) Index Properties"
"JanusMiscMetadata","NEW:  Miscellaneous metadata on instrumentation, analyses, and measurements.","Measurement Metadata"
"JanusMiscSpecialHole","NEW:  Location and coring information on designated special holes.","Special Hole"
"JanusMs2f","Measurements of point magnetic susceptibility acquired using a meter attached to the Archive Half Multisensor Track (AMST) in the shipboard environment.","Point Magnetic Susceptibility"
"JanusMscl","Measurements of magnetic susceptibility acquired using a core logger configurable with one or two Bartington magnetic susceptibility sensors affixed to a push-rod style GeoTek rail system (MSCL).","Magnetic Susceptibility Core Logging"
"JanusMsl","Measurements of magnetic susceptibility acquired using a Bartington loop affixed to the whole-core multi-sensor track (WC-MST).","Magnetic Susceptibility Whole-Core Multi-Sensor Track (WC-MST)"
"JanusNcr","Measurements of non-contact resistivity (NCR) derived from GeoTek instrumentation.","Non-contact Resistivity"
"JanusNgr","Measurements of natural gamma radiation (NGR) counts acquired using NaI sensors on the whole-core multi-sensor track (WC-MST) system.","Natural Gamma Radiation (NGR)"
"JanusPaleoDatumRef","NEW:  Reference listing of taxon datum concepts.","Paleo Datum Reference"
"JanusPaleoImage","Url links to prime data images of scanned Paleontology and Biostratigraphy log sheets. ","Paleo Image"
"JanusPaleoOccurrence","Fossil taxa occurrence (abundance and preservation) data, and age/zonation identification on a species by species basis for each sample.","Paleo Taxon Occurrence"
"JanusPaleoRangeTable","DELETE:  SEE OCD_PALEO_OCCURRENCE","Paleo Taxon Range Table"
"JanusPaleoSampleInterp","Interpretations at a sample-level by fossil group of abundance, preservation, geological age range, zonation range, paleobathymetry, and comments.","Paleo Sample Interpretation"
"JanusPaleoTaxonomyRef","NEW:  Reference listing of taxon species concepts.","Paleo Taxonomy Reference"
"JanusPaleoZoneRef","NEW:  Reference listing of taxon zone concepts.","Paleo Zone Reference"
"JanusPrimeDataImage","URL links to scanned images of prime data types including visual core description (VCD), Paleontology, VCD hard rock, VCD structual, and X-ray diffraction (XRD).","Prime Data Image"
"JanusPwl","Measurements of P-wave velocity collected by the sonic velocity sensor on a whole-core multi-sensing track (WC-MST) system.","Whole-Core P-Wave Velocity"
"JanusPws1","Measurements of P-wave velocity in the z-direction on split cores.","P-Wave Velocity (z)"
"JanusPws2","Measurements of P-wave velocity in the y-direction on split cores.","P-Wave Velocity (y)"
"JanusPws3","Measurements of P-wave velocity in the x-direction on split cores with or without core liners, and in the x, y, and z-directions on cubic or cylindrical, consolidated, or lithified core specimens.","P-Wave Velocity (x,y,z)"
"JanusRsc","Measurements of Reflectance Spectrophotometry and Colorimetry taken on cores using a Minolta CM2002 camera.","Reflectance Spectrophotometry and Colorimetry"
"JanusSamplingCode","NEW:  Codes used to link groups of samples to particular individuals or shipboard laboratories.","Sampling Codes"
"JanusShearStrengthAvs","Measurements of the torque required to cause a split-core cylindrical surface to be sheared by an automated vane system (AVS).","Shear Strength (Automated Vane Shear â€“ AVS)"
"JanusShearStrengthPen","Measurements of the unconfined compressive strength of a split-core surface using a pocket penetrometer.","Shear Strength (Penetrometer)"
"JanusShearStrengthTor","Measurements of shear strength on a split-core using a hand-held Torvane instrument.","Shear Strength (Torvane)"
"JanusSmearSlide","Quantitative and qualitative abundances at a sample-level of sedimentary components as observed in microscopic smear slides.","Smear Slide Components"
"JanusSmearSlideCompRef","NEW:  Reference listing of smear slide components.","Smear Slide Component Reference"
"JanusSpliceInterval","NEW:  Summary of core stratigraphic depth correlation between holes at a site derived from downhole depth-shifting and correlation of multiple core and logging datasets.","Splice Interval Listing"
"JanusSpliceTie","NEW:  Detail of core stratigraphic depth correlation between holes a site derived from downhole depth-shifting and correlation of multiple core and logging datasets.","Splice Tie Point Listing"
"JanusSystemsRef","NEW:  Reference for measurement systems","Measurement Systems Reference"
"JanusTensorCore","Measurements of magnetic core orientation.","Tensor Core Orientation"
"JanusTensorTool","NEW:  Metadata on Tensor Tool operation.","Tensor Tool"
"JanusThermalConductivity","Measurement of thermal conductivity on whole cores after reaching thermal equilibrium in the shipboard laboratory environment using Teka temperature probes.","Thermal Conductivity"
"JanusThinSection","Quantitative and qualitative abundances at a sample-level of sedimentary components as observed in microscopic thin sections.","Thin Section Components"
"JanusThinSectionCompRef","NEW:  Reference listing of thin section components.","Thin Section Component Reference"
"JanusThinSectionImage","URL links to images of thin section microphotographs.","Thin Section Image"
"JanusVcdHardRockImage","URL links to scanned images of visual core descriptions (VCD) on hard rocks.","Visual Core Description (VCD) Hard Rock Image"
"JanusVcdImage","URL links to scanned images of visual core descriptions (VCD).","Visual Core Description (VCD) Image"
"JanusVcdStructureImage","URL links to scanned images of visual core descriptions (VCD) on core structure.","Visual Core Description (VCD) Structure Image"
"JanusXrd","NEW:  Measurements and metadata on X-Ray Diffraction (XRD) samples.","X-Ray Diffraction (XRD)"
"JanusXrdImage","URL links to scanned images of instrumentation output of X-Ray Diffraction (XRD) peak values.","X-Ray Diffraction (XRD) Image"
"JanusXrf","Measurements of concentrations of major and trace elements from X-Ray Fluorescence (XRF) spectrometry samples.","X-Ray Fluorescence (XRF)"
