json_name,json_unit,json_unit_descript,code,json_descript
A_star,,,*,Measurement value of the a* chromaticity green-red measurement of L*a*b* CIELAB system for color reflectance.
Abundance_code,,,,Code for abundance of a component in a thin section or smear slide.
Acoustic_signal_threshold,,valid values from 0-255,#,The strength of the acoustic signal for a velocity measurement.
Actual_daq_period,s,seconds (s),-- #,The actual data acquisition period used for measurements in seconds.
Adapter_used,,,,The adapter used for Penetrometer measurements in the physical properties laboratory.
Age_ma,ma,millions of years (ma),*,Age in millions of years (ma).
Age_model_type,,,,"The type of the age model - where or when it was constructed (shipboard, initial reports, post-moratorium)."
Al2O3_wt_pct,wt%,weight percent (wt%),*,Measurement value of Aluminum Oxide (Al2O3) in weight percent (wt%).
Angle_motf,°,degrees (°),? *,"Measurement value of the ""Magnetic Only tool face angle"" in degrees."
Angle_mtf,°,degrees (°),*,"Measurement value of the angle between magnetic north and the double-line orientation mark on the core liner in degrees; ""Magnetic Tool Face"" angle."
Attempted_daqs,,,#,Attempted number of data acqusitions.
Avg_magnetic_susceptibility,SI,SI,*,The average measured susceptibility value in unitless volume susceptibility.
B_star,,,*,Measurement value of the b* chromaticity blue-yellow measurement of L*a*b* CIELAB system for color reflectance.
Ba_ppm,ppm,parts per million (ppm),*,Measurement value of Barium (Ba) in ppm.
Background_total_counts,cps,counts per second (cps),@@ *,Measurement of total background NGR counts in seconds.
Be_ppm,ppm,parts per million (ppm),*,Measurement value of Beryllium (Be) in ppm.
Bead_loi,%,percent (%),*,Measurement (calculated) value of sample weight lost after ignition in percent.
Beaker_date_time,,,,The date and time calibration data for a MAD (Moisture and Density) beaker from the physical properties laboratory.
Best_fit_error,°C,degrees Celcius (°C),*,Measurement value of best-fit error in degrees Celcius.
Best_fit_temperature,°C,degrees Celcius (°C),*,Measurement value of best-fit downhole temperature in degrees Celcius
Bkgd_elapsed_zero_time,,,,Time elapsed since start of a section run.
Bkgd_susceptibility,SI,SI,@@ *,Measurement value of the background susceptibility at end of section run.
Bot_cm,cm,centimeters (cm),#,Bottom value of an interval of a section in cm.
Bot_depth_mbsf,mbsf,meters below sea floor (mbsf),#,Bottom depth value in meters below sea floor (mbsf).
Bulk_density,g/cc,grams per cc (g/cc),*,Measurement value of the bulk density in grams/cc.
CaCO3_wt_pct,wt%,weight percent (wt%),*,Measurement value of Calcium Carbonate (CaCO3) in weight percent (wt%).
CaO_wt_pct,wt%,weight percent (wt%),*,Measurement value of Calcium Oxide (CaO) in weight percent (wt%).
Calc_bulk_density,g/cc,grams per cc (g/cc),*,Measurement value of calculated bulk density in g/cc.
Calc_dry_density,g/cc,grams per cc (g/cc),*,Measurement value of calculated dry_density in g/cc.
Calc_grain_density,g/cc,grams per cc (g/cc),*,Measurement value of calculated grain density in g/cc.
Calc_method,,,,Letter designation of the actual method of calculation for moisture and density measurements.
Calc_porosity,%,percent (%),*,Measurement value of calculated porosity in percent.
Calc_void_ratio,,ratio,*,Measurement value of calculated void ratio.
Calc_water_content_dry,%,percent (%),*,Measurement value of calculated water content (dry) in percent.
Calc_water_content_wet,%,percent (%),*,Measurement value of calculated water content (wet) in percent.
Calib_channel_energy_m0,,,,Calibration channel energy intercept.
Calib_channel_energy_m1,,,,Calibration channel energy slope.
Calib_channel_energy_mse,,,,Calibration channel energy mean squared error.
Calib_delay,,,? *,Calibration delay.
Calib_density_m0,,,,Calibration density intercept.
Calib_density_m1,,,,Calibration density slope.
Calib_density_mse,,,,Calibration density mean squared error.
Calib_separation_m0,,,,Calibration separation intercept.
Calib_separation_m1,,,,Calibration separation slope.
Calib_separation_mse,,,,Calibration separation mean squared error.
Calib_time_m0,,,,Calibration time intercept.
Calib_time_m1,,,,Calibration time slope.
Calib_time_mse,,,,Calibration time mean squared error.
Calibration_timestamp,,,--,Date and time of calibration.
Catwalk_sample,,,,Flag to indicate if sample was taken on the core receiving platform before the core was split.
Ce_ppm,ppm,parts per million (ppm),*,Measurement value of Cerium (Ce) in ppm.
Channel_increment,,,,Wavelength increment between channels.
Co_ppm,ppm,parts per million (ppm),*,Measurement value of Cobalt (Co) in ppm.
Component_name,,,,Name of the component in a smear slide or sedimentary thin section.
Component_name_code,,,,Code number of the component name in a smear slide or sedimentary thin section.
Component_percent,%,percent (%),*,Percent of component in a smear slide.
Component_type_code,,,,"Code for type of component in a smear slide; M=Mineral, R=Rock, B=Biogenic, O=Other."
Contact_pressure,,,,Contact pressure applied.
Contaminated_reworked,,,,Flag for Contamination (C) or Reworked (R) specimen in sample.
Control_point_comment,,,,Remark on a control point for an age model.
Core,,,,Sequential numbers identifying the cores retrieved from a particular hole.
Core_comment,,,,Remark on a core.
Core_diameter,cm,centimeters (cm),-- *,Diameter of a core in cm.
Core_image_type,,,,"Type of image for a core, either CORE for all of a core or SECTION for a section of a core."
Core_status,,,--,"Indicator for the status of a core, either FULL or HALF."
Core_temperature,°C,degrees Celcius (°C),-- *,Measurement value of temperature of a core in degrees Celcius.
Core_type,,,,Letter code identifying the drill bit/coring method used to retrieve the core.
Corrected_susceptibility,SI,SI,??? @@ *,Measurement value of calculated correction of magnetic susceptibility.
Corrected_total_counts,cps,counts per second (cps),*,Measurement value of (calculated) corrected total counts per second.
Cr_ppm,ppm,parts per million (ppm),*,Measurement value of Chromium (Cr) in ppm.
Cs_ppm,ppm,parts per million (ppm),*,Measurement value of Cesium (Cs) in ppm.
Cu_ppm,ppm,parts per million (ppm),*,Measurement value of Copper (Cu) in ppm.
Curated_length,m,meters (m),#,Measurement value of the length of a curated core in meters.
Data_type_abbr,,,,Data type of an image.
Datum_age,ma,millions of years (ma),*,Age in millions of years (ma) of datum.
Datum_age_error,ma,millions of years (ma),*,Error value of datum age in millions of years (ma) of datum.
Datum_comment,,,,Remark on a datum.
Datum_depth,mbsf,meters below sea floor (mbsf),*,Depth in meters below sea floor (mbsf) of datum.
Datum_depth_error,mbsf,meters below sea floor (mbsf),*,Error value of datum depth in meters below sea floor (mbsf).
Datum_description,,,,Description of datum - fossil name.
Datum_fossil_group,,,,Identifier (ID) of the fossil group of the datum.
Datum_id,,,,Identifier (ID) of the datum.
Datum_location,,,,Location of sample from which datum call was made (ship or repository).
Datum_post_cruise_flag,,,,Flag to indicate if datum call was made post-cruise.
Datum_sample_id,,,,Identifier (ID) of a sample from which datum call was made.
Datum_type,,,,"Type of datum such as first occurrence (FO), last common occurrence (LCO)."
Declination,°,degrees (°),*,Measurement value of the orientation of the magnetic field of the sample (the field acquired at the time of the rock formation). The angle between geographic north and the magnetic field direction (the magnetic azimuth).
Demag_level,mT / °C,milleteslas (mT) or degrees Celcius (°C),*,Measurement value of the level of demagnetization in milliteslas (mT) if AF or degrees Celcius if thermal.
Demag_type,,,,"Type of demagnetization system used for measurement - AFD (integrated sub-system of the cryomagnetometer), AFDD (DTek), THD (thermal demag unit)."
Depth_mbsf,mbsf,meters below sea floor (mbsf),#,Depth in meters below sea floor (mbsf).
Dht_comment,,,,Comment on downhole temperature measurement.
Direction,,,#,"Direction of measurement relative to a section of a core - X, Y, or Z.  X is into the working half."
Drift_corr_susceptibility,SI,SI,@@ *,Measurement value of magnetic susceptibility corrected for instrumentation drift.
Dy_ppm,ppm,parts per million (ppm),*,Measurement value of Dysprosium (Dy) in ppm.
Er_ppm,ppm,parts per million (ppm),*,Measurement value of Erbium (Er) in ppm.
Expected_velocity,m/s,meters per second (m/s),#,Value of expected velocity based on a standard in meters per second.
Fe2O3_wt_pct,ppm,parts per million (ppm),*,Measurement value of Iron Oxide (Fe2O3) in ppm.
Feature,,,,Description of a feature in a thin section image.
File_name,,,,Name of a thin section image file.
First_channel,nm,nannometers (nm),,Wavelength of the first channel of color reflectance spectral values in nm.
Fossil_group,,,,Identifier (ID) of a fossil group.
Fossil_group_name,,,--,Name of a fossil group.
Freq_normalization_factor,,,,Factor used for normalizing magnetic susceptibility measurement.
Ga_ppm,ppm,parts per million (ppm),*,Measurement value of Gallium (Ga) in ppm.
Gd_ppm,ppm,parts per million (ppm),*,Measurement value of Gadolinium (Gd) in ppm.
Genus_subgenus,,,*,Name of the Genus/subgenus of a fossil taxon.
Geologic_age_old,,,*,Name of the oldest geologic age of a paleo sample.
Geologic_age_young,,,*,Name of the youngest geologic age of a paleo sample.
Group_abundance_name,,,*,Name of the abundance for a fossil group in a paleo sample.
H_wt_pct,wt%,weight percent (wt%),*,Measurement value of Hydrogen (H) in weight percent (wt%).
Height,mm,millimeters (mm),#,Distance between aperture and core surface in mm.
Height_assumed,,,,Flag to indicate whether height measurement value was actually measured (1) or not (0).
Hf_ppm,ppm,parts per million (ppm),*,Measurement value of Hafnium (Hf) in ppm.
Hole,,,,Letter identifying the hole at a site from which a core was retrieved or data was collected.
Hole_azimuth,°,degrees (°),? *,OCD_TENSOR_CORE Measurement value of the azimuth of the hole in degrees.
Hole_inclination,°,degrees (°),-- *,Measurement value of the deviation of the hole from vertical in degrees.
Image_date,,,,Date image was acquired.
Image_format,,,#,"File image format of an image (TIF,JPG,PDF)."
Image_resolution,dpi,dots per inch (dpi),#,Resolution of the image in dpi.
Inclination,,,*,"Measurement value of the orientation of the magnetic field of a sample (the field acquired at the time of the rock formation), and angle between the horizontal and the field direction measured positive downward, in degrees."
Inor_C_wt_pct,wt%,weight percent (wt%),*,Measurement value of Inorganic Carbon in weight percent (wt%).
Integration_time,s,seconds (s),?,Integration_time in seconds (s).
Intensity,amp/m,ampere per meter (amp/m),*,OCD_CRYOMAG_SECTION  Measurement value of the intensity in amp/m.
Intensity_x,amp/m,ampere per meter (amp/m),*,"Measurement value of the intensity in the x-direction  that has been corrected for background and/or tray correction, in amp/m."
Intensity_y,amp/m,ampere per meter (amp/m),*,"Measurement value of the intensity in the y-direction  that has been corrected for background and/or tray correction, in amp/m."
Intensity_z,amp/m,ampere per meter (amp/m),*,"Measurement value of the intensity in the z-direction  that has been corrected for background and/or tray correction, in amp/m."
K2O_wt_pct,wt%,weight percent (wt%),*,Measurement value of Potassium oxide (K2O) in weight percent (wt%).
L_star,,,*,Measurement value of the L* lightness measurement of L*a*b* CIELAB system for color reflectance.
La_ppm,wt%,weight percent (wt%),*,Measurement value of Lanthanum (La) in weight percent (wt%).
Last_channel,nm,nannometers (nm),#,Wavelength of the last channel of color reflectance spectral values in nm.
Leg,,,,Number identifying the cruise.
Length_cored,m,meters (m),#,Length cored of the core in meters.
Length_recovered,m,meters (m),#,Length of material recovered in the core in meters.
Light_abbr,,,#,Abbreviation for microscope light type.
Lims_component_id,,,#,Identifier (ID) of the LIMS component for the loop.
Liner_correction,,,,Flag for if liner correction was applied to measurement.
Liner_status,,,--,"Indicator for type of core liner; NONE, HALF, or FULL."
Liner_thickness,mm,millimeters (mm),#,Thickness of core liner in mm. If liner correction = No then this value is zero.
Lithology_code,,,,One character alpha-numeric code for lithology identified in smear slide.
Location,,,#,"Code that indicates the site where the Janus application is exercised.  Values are SHI(ship), GCR (Gulf Coast Repository), ECR (East Coast Repository) and BRE (Bremen repository)."
Loop_temperature,°C,degrees Celcius (°C),*,Temperature of the Bartington instrument loop through which a core is passed in degrees Celcius.
Mad_comment,,,,Remark on a moisture and density sample.
Magnetic_susceptibility,SI,SI,*,Measurement value of magnetic susceptibility in SI units.
Magnification,,,#,Magnification used for the microphotograph.
Max_torque_angle,°,degrees (°),*,Measurement value of the torque angle at sediment failure in degrees.
Mean_acoustic_signal,,,@@ *,Measurement value of the mean acoustic signal for velocity.
Meas_separation_mean,mm,millimeters (mm),*,Measurement value of the distance between a pair of transducers in mm.
Meas_separation_sd,mm,millimeters (mm),*,Measurement value of the calculated standard deviation of the distance between a pair of transducers in mm.
Meas_time_mean,µs,microseconds (µs),*,Measurement value of the transit time for a wave to travel between transducers in microseconds.
Meas_time_sd,µs,microseconds (µs),*,Measurement value of the calculated standard deviation of the measured time for a signal to travel between a pair of transducers in microseconds.
Measured_counts,ct,count (ct),*,Raw measured counts collected by an MST instrument during a measurement.
Measured_time,mm,millimeters (mm),*,Measurement value of the distance between a pair of transducers in mm.
Measurement_no,,,--,The number of the measurement taken to differentiate multiple measurements taken at the same interval.
Method,,,,Letter designation of the method of calculation for moisture and density measurements.
MgO_wt_pct,wt%,weight percent (wt%),*,Measurement value of Magnesium Oxide (MgO) in weight percent (wt%).
Micro_image_id,,,,Identifier (ID) of a thin section microphotograph.
MnO_wt_pct,wt%,weight percent (wt%),*,Measurement value of Manganese Oxide (MnO) in weight percent (wt%).
Mo_ppm,ppm,parts per million (ppm),*,Measurement value of Molybdenum (Mo) in ppm.
Mudline_temperature,°C,degrees Celcius (°C),*,Measurement value of the temperature at mudline in degrees Celcius.
Munsell_hvc,,Munsell HVC,*,Measurement value of the Munsell HVC color notation.
Na2O_wt_pct,wt%,weight percent (wt%),*,Measurement value of Sodium Oxide (Na2O) in weight percent (wt%).
Nb_ppm,ppm,parts per million (ppm),*,Measurement value of Niobium (Nb) in ppm.
Nd_ppm,ppm,parts per million (ppm),*,Measurement value of Neodymium (Nd) in ppm.
Ni_ppm,ppm,parts per million (ppm),*,Measurement value of Nickel (Ni) in ppm.
Nit_wt_pct,wt%,weight percent (wt%),*,Measurement value of Nitrogen (N) in weight percent (wt%).
Normalized_susceptibility,SI,SI,@@ *,Measurement value of normalized magnetic susceptibility.
Number_cycles,,,#,Number of measurements taken at the specified integration time to obtain an averaged result.
Number_measured,,,#,Number of measurements for each data point.
Offset,mm,millimeters (mm),#,Distance core needed to be lowered from sensor in mm.
Org_C_wt_pct,wt%,weight percent (wt%),*,Measurement value of Organic Carbon in weight percent (wt%).
P2O5_wt_pct,wt%,weight percent (wt%),*,Measurement value of Phosphorus pentoxide (P2O5) in weight percent (wt%).
Page_id,,,,"Identifier (ID) for order of image for same data type and same stratigraphic level (core, section, interval or depth)."
Paleo_sample_comment,,,,Remark about a paleo sample.
Pb_ppm,ppm,parts per million (ppm),*,Measurement value of Lead (Pb) in ppm.
Percent_clay,%,percent (%),*,Measurement value of Clay in percent.
Percent_recovered,%,percent (%),*,Measurement value of core recovered in percent.
Percent_sand,%,percent (%),*,Measurement value of Sand in percent.
Percent_silt,%,percent (%),*,Measurement value of Silt in percent.
Piece,,,,Sequential number for a piece of rock (hard rock samples) within a section.
Piece_sub_piece,,,,Concatenated designation of a piece (number) and sub-piece (letter) sub-piece of a rock (hard rock samples) within a section.
Post_cruise_flag,,,,Flag to indicate analysis done post-cruise.
Presence_absence_flag,,,,Flag to indicate presence or absence of a taxon.
Preservation_name,,,,Abbreviation for qualitative assessment of overall preservation state of specimens of a fossil group in a sample.
Probe_number,,,,Number that uniquely identifies a probe of a manufacturers instrument for associating measurements.
Probe_temperature,°C,degrees Celcius (°C),#,Measurement value of the temperature of the probe in degrees Celcius.
Probe_type,,,,Type of needle probe: full-space (FULL; insertion into soft material) or half-space (HALF; contact with flat surface).
Range,g/cm²,grams per centimeter squared (g/cm²),#,"Range of torvane - 200, 1000 or 2000 in grams per centimeter squared."
Raw_data_collected,,,,Flag to indicate if raw data was collected in association with measurement results for an instrument.
Raw_strain_angle,°,degrees (°),@@ *,Measurement value of raw strain angle collected with automated vane system in degrees.
Raw_torque_angle,°,degrees (°),@@ *,Measurement value of raw torque angle collected with automated vane system in degrees.
Rb_ppm,ppm,parts per million (ppm),,Measurement value of Rubidium (Rb) in ppm.
Request_number,,,,Unique number assigned to a sample request.
Requested_daq_interval,cm,centimeters (cm),-- #,The requested data acquisition interval in cm.
Requested_daq_period,s,seconds (s),-- #,The requested data acquisition period in seconds.
Requested_daqs_per_sample,,,#,The requested data acquisitions per sample interval.
Residual_strength,kPa,kilopascal (kPa),*,Measurement value of the residual strength of the sediment after shearing in kPa units.
Residual_torque_angle,°,degrees (°),? *,Measurement value of the residual torque angle of the sediment after shearing in degrees.
Resistivity,Ω,Ohms (Ω),*,Measurement value of resistivity in ohms.
Rotation_rate,°/min,degrees per minute (°/min),#,The rate of rotation of a vane in degrees per minute.
Run_comment,,,,Remark on a run for analysis.
Run_number,,,--,Number for a run for an analysis.
Run_timestamp,,,--,Date/time of an analysis run.
S_ppm,ppm,parts per million (ppm),*,Measurement value of Sulfur (S) in ppm.
Sample_archive_working,,,,Denotes whether sample was taken from an archive or working core section.
Sample_bulk_density,,,@@ *,Measurement value of sample bulk density by Method A or B.
Sample_comment,,,,Remark on a sample.
Sample_dry_density,,,@@ *,Measurement value of sampled dry density.
Sample_elapsed_zero_time,s,seconds (s),#,Time elapsed since start of run in seconds.
Sample_geologic_age_old,,,*,Oldest possible geologic age of a sample.
Sample_geologic_age_young,,,*,Youngest possible geologic age of a sample.
Sample_grain_density,,,@@ *,Measurement value of sample grain density.
Sample_group_abundance,,,*,Code for qualitative assessment of fossil group abundance in a sample.
Sample_id,,,,Identifier (ID) of a sample.
Sample_lab_code,,,,Code identifier for a lab sample.
Sample_porosity,,,@@ *,Measurement value of porosity.
Sample_preservation,,,*,Code for qualitative assessment of fossil group preservation in a sample.
Sample_repository,,,,Repository where sample is stored.
Sample_timestamp,,,,Timestamp for when sample was taken.
Sample_type,,,,Type of sample (sediment or mineral) analyzed.
Sample_void_ratio,,ratio,@@ *,Measurement value of sample void ratio.
Sample_volume,cc,volume (cc = cm3),#,Volume of sample in cc.
Sample_water_content_bulk,,,@@ *,Measurement value of bulk sample water content.
Sample_water_content_solids,,,@@ *,Measurement value of solids sample water content.
Sample_zone_old,,,*,Code for oldest possible fossil zone of sample.
Sample_zone_young,,,*,Code for youngest possible fossil zone of sample.
Sc_ppm,ppm,parts per million (ppm),*,Measurement value of Scandium (Sc) in ppm.
Scientist_first_name,,,,First name of a scientist.
Scientist_id,,,,Identifier (ID) of a scientist.
Scientist_initials,,,,Initials of a scientist.
Scientist_last_name,,,--,Last name of a scientist.
Section_comment,,,,Remark on a section of a core.
Section_id,,,,Identifier (ID) of a section of a core.
Section_number,,,--,Sequential number of a section of a core.
Section_type,,,,"Type of a section (C=Core Catcher, S=Core)."
Shear_strength,kPa,kilopascal (kPa),*,Measurement value of shear strength in kPa units.
Ship_date_time,,,,Date and time on ship.
SiO2_wt_pct,wt%,weight percent (wt%),*,Measurement value of Silica/Silicon Oxide (SiO2) in weight percent (wt%).
Site,,,,Number identifying the site from which the core was retrieved. A site is the position of a beacon around which holes are drilled.
Site_variation,,,? *,OCD_TENSOR_CORE
Slide_number,,,,Number assigned to a thin section slide.
Sm_ppm,ppm,parts per million (ppm),*,Measurement value of Samarium (Sm) in ppm.
Species_subspecies,,,*,Name of the species/subspecies of a fossil taxon.
Spectral_values,%,percent intensity (%),*,String of 31 spectral reflectance values (% intensity).
Spring_comment,,,,Remark on a spring.
Spring_id,,,,Identifier (ID) of a spring.
Sr_ppm,ppm,parts per million (ppm),*,Measurement value of Strontium (Sr) in ppm.
Standard_name,,,,Name of physical properties standard.
Standard_set_name,,,,Name for a set of a physical properties standard.
Strength_reading,,,? *,"""The value of the strength reading, no units given."""
Sub_piece,,,,Letter designation of a sub-piece of a hard rock piece in a section.
Sul_wt_pct,wt%,weight percent (wt%),*,Measurement value of of Sulfur in weight percent (wt%).
Sys_id,,,,Identifier (string) for the system used for analysis.
System_id,,,--,Identifier (ID) for the system used in analysis.
Taxon_comment,,,,Remark on a fossil taxon in a sample.
Taxon_id,,,,Identifier (ID) of a fossil taxon.
Taxon_numeric_abundance,ct,count (ct),*,Abundance numeric count of a fossil taxon in a sample.
Taxon_percent_abundance,%,percent (%),*,Abundance percentage of a fossil taxon in a sample.
Taxon_relative_abundance,,,*,Qualitative relative abundance of a fossil taxon in a sample.
Th_ppm,ppm,parts per million (ppm),*,Measurement value of Thorium (Th) in ppm.
Thermcon_comment,,,,Remark on a thermal conductivity measurement.
Thermcon_value,,,@@ *,Measurement value of thermal conductivity.
Thin_section_comment,,,,Remark on a thin section.
TiO2_wt_pct,wt%,weight percent (wt%),*,Measurement value of Titanium Dioxide (TiO2) in weight percent (wt%).
Timescale_author_year,,,,Timescale reference of the datum.
Tool_name,,,,Name of the tool used for measurement.
Top_cm,cm,centimeters (cm),#,Top value of an interval of a section in cm.
Top_depth_mbsf,mbsf,meters below sea floor (mbsf),-- #,Depth value of top of an interval in meters below sea floor (mbsf).
Tot_C_wt_pct,wt%,weight percent (wt%),*,Measurement value of Total Carbon in weight percent (wt%).
Total_counts,ct,count (ct),*,Measurement value of total NGR counts per second not corrected for background.
Transducer_separation,mm,millimeters (mm),*,Measurement value of the distance between a pair of transducers in mm.
Treatment_bias,mT,milleteslas (mT),???,"Values expected for ARM between 0.000 to 1.000 mT, and for IRM between 1.0 to 3000.0 mT."
Treatment_demag,mT,milleteslas (mT),???,Values expected between 0.0 to 9999.9 mT.
Treatment_type,,,,System used for applying alternating frequencies or thermal demagnetizations to samples.
Tristimulus_x,,,@@ *,Measurement value in the x direction of the color sphere coordinates.
Tristimulus_y,,,@@ *,Measurement value in the y direction of the color sphere coordinates.
Tristimulus_z,,,@@ *,Measurement value in the z direction of the color sphere coordinates.
Ts_comment,,,,Remark on a thin section.
Ts_sample_code_lab,,,,Code to indicate the shipboard lab that performed the analysis.
Url,,,--,Uniform Resource Locator (URL) for the image available on the internet.
V_ppm,ppm,parts per million (ppm),*,Measurement value of Vanadium in ppm.
Valid_daqs,,,#,Valid number of data acquisitions.
Vane_comment,,,,Remark on a vane.
Vane_id,,,,Identifier (ID) of a vane.
Velocity,m/s,meters per second (m/s),-- *,Measurement value of velocity in m/s.
Voltage,mV,milliVolts (mV),*,Measurement value of voltage in milliVolts.
Xrf_analysis_type,,,,The type of element analysis performed on xrf sample.
Xrf_comment,,,,Remark on an xrf analysis.
Xrf_replicate,,,,Identifer used for analysis of replicates of a sample.
Xrf_run_identifier,,,,Identifier for a run of an analysis on a sample.
Y_ppm,ppm,parts per million (ppm),*,Measurement value of Yttrium (Y) in ppm.
Yb_ppm,ppm,parts per million (ppm),*,Measurement value of Ytterbium (Yb) in ppm.
Zn_ppm,ppm,parts per million (ppm),*,Measurement value of Zinc (Zn) in ppm.
Zone_old,,,*,Oldest possible fossil zone for a sample.
Zone_young,,,*,Youngest possible fossil zone for a sample.
Zr_ppm,ppm,parts per million (ppm),*,Measurement value of Zirconium (Zr) in ppm.